MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Bet365_CloseHomeWinOdds,Bet365_CloseDrawOdds,Bet365_CloseAwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
2024-11-02,Paris SG,Lens,1,0,H,1,0,H,18,13,8,2,3,20,7,4,1,5,0,1,1.42,5.0,6.25,1.42,4.8,7.0,1.43,5.01,7.21,1.42,5.0,6.25,1.42,5.07,7.73,2024-25
2024-11-02,Brest,Nice,0,1,A,0,1,A,16,12,6,3,9,4,6,2,0,2,0,0,2.63,3.25,2.75,2.6,3.2,2.75,2.71,3.17,2.87,3.0,3.1,2.5,3.05,3.15,2.62,2024-25
2024-11-02,St Etienne,Strasbourg,2,0,H,0,0,D,13,9,3,3,9,4,2,3,2,1,0,0,3.8,3.7,1.91,3.5,3.75,1.95,3.76,3.82,1.97,3.4,3.7,2.05,2.49,3.29,2.73,2024-25
2024-11-03,Toulouse,Reims,1,0,H,0,0,D,13,13,6,2,16,15,6,7,0,3,0,0,2.0,3.5,3.75,1.98,3.6,3.7,2.12,3.52,3.6,1.9,3.5,4.2,1.93,3.59,4.31,2024-25
2024-11-03,Auxerre,Rennes,4,0,H,2,0,H,16,7,8,4,11,15,3,8,0,2,0,0,3.5,3.6,2.05,3.5,3.6,2.0,3.51,3.59,2.13,3.4,3.6,2.05,3.53,3.59,2.14,2024-25
2024-11-03,Le Havre,Montpellier,1,0,H,0,0,D,12,15,4,1,11,13,2,10,2,1,0,0,2.2,3.5,3.2,2.1,3.5,3.3,2.28,3.37,3.37,2.25,3.4,3.2,2.3,3.3,3.45,2024-25
2024-11-03,Nantes,Marseille,1,2,A,1,1,D,7,9,3,4,16,6,2,5,1,1,0,0,3.7,3.5,2.05,3.7,3.5,2.0,3.74,3.5,2.08,3.5,3.4,2.1,3.54,3.44,2.2,2024-25
2024-11-08,Marseille,Auxerre,1,3,A,0,3,A,19,10,5,6,13,16,5,3,3,2,0,0,1.4,5.0,7.5,1.42,5.0,6.75,1.4,5.34,7.52,1.44,4.75,6.5,1.45,5.06,6.92,2024-25
2024-11-09,Strasbourg,Monaco,1,3,A,1,0,H,5,19,2,8,16,18,1,2,5,2,0,0,3.4,3.7,2.0,3.3,3.7,2.05,3.69,3.65,2.04,3.8,3.7,1.91,4.04,3.67,1.96,2024-25
2024-11-09,Lens,Nantes,3,2,H,1,1,D,15,9,3,3,14,8,6,1,2,0,0,0,1.6,3.9,5.75,1.61,3.9,5.5,1.61,4.02,5.99,1.62,3.8,5.5,1.62,3.85,6.45,2024-25
2024-11-09,Angers,Paris SG,2,4,A,0,4,A,10,26,3,12,5,16,6,8,0,3,0,0,12.0,6.25,1.22,11.5,6.5,1.23,11.51,6.59,1.24,10.0,5.75,1.27,11.43,6.02,1.28,2024-25
2024-11-10,Nice,Lille,2,2,D,0,1,A,17,13,5,6,12,9,6,2,2,2,0,0,2.55,3.2,2.9,2.45,3.3,2.85,2.55,3.26,3.0,2.25,3.25,3.3,2.37,3.31,3.3,2024-25
2024-11-10,Le Havre,Reims,0,3,A,0,2,A,10,18,3,7,10,17,8,7,1,4,0,0,3.3,3.2,2.3,3.2,3.3,2.25,3.43,3.23,2.32,3.5,3.1,2.25,3.57,3.19,2.3,2024-25
2024-11-10,Montpellier,Brest,3,1,H,2,0,H,14,19,8,6,18,13,3,7,5,1,0,0,3.25,3.5,2.2,3.1,3.5,2.2,3.41,3.49,2.2,2.88,3.2,2.55,2.99,3.21,2.63,2024-25
