MatchDate,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Home_xG,Away_xG
2024-08-25,Nice,Toulouse,1.0,1.0,1.24,0.93
2024-08-25,Strasbourg,Rennes,3.0,1.0,1.55,1.55
2024-08-25,Marseille,Reims,2.0,2.0,3.1,0.93
2024-08-30,Lyon,Strasbourg,4.0,3.0,4.03,2.17
2024-08-31,Brest,St Etienne,4.0,0.0,2.17,0.0
2024-08-31,Montpellier,Nantes,1.0,3.0,1.55,1.55
2024-08-31,Toulouse,Marseille,1.0,3.0,0.62,1.55
2024-09-01,Monaco,Lens,1.0,1.0,0.93,1.24
2024-09-01,Lille,Paris SG,1.0,3.0,1.24,2.17
2024-09-01,Angers,Nice,1.0,4.0,2.17,2.79
2024-09-01,Reims,Rennes,2.0,1.0,2.17,1.55
2024-09-01,Le Havre,Auxerre,3.0,1.0,2.48,0.62
2024-09-13,St Etienne,Lille,1.0,0.0,1.55,1.24
2024-09-14,Marseille,Nice,2.0,0.0,1.55,1.24
2024-09-14,Auxerre,Monaco,0.0,3.0,0.93,2.79
2024-09-14,Paris SG,Brest,3.0,1.0,2.79,0.93
2024-09-15,Nantes,Reims,1.0,2.0,1.86,1.24
2024-09-15,Rennes,Montpellier,3.0,0.0,1.86,1.24
2024-09-15,Strasbourg,Angers,1.0,1.0,1.55,0.62
2024-09-15,Lens,Lyon,0.0,0.0,1.55,0.93
2024-09-15,Toulouse,Le Havre,2.0,0.0,2.17,0.93
2024-09-20,Nice,St Etienne,8.0,0.0,3.72,0.62
2024-09-21,Lille,Strasbourg,3.0,3.0,2.17,2.79
2024-09-21,Rennes,Lens,1.0,1.0,1.86,0.62
2024-09-21,Reims,Paris SG,1.0,1.0,0.31,1.24
2024-09-22,Brest,Toulouse,2.0,0.0,1.55,0.31
2024-09-22,Angers,Nantes,1.0,1.0,0.31,0.93
2024-09-22,Lyon,Marseille,2.0,3.0,2.79,1.55
2024-09-22,Montpellier,Auxerre,3.0,2.0,1.55,1.86
2024-09-22,Monaco,Le Havre,3.0,1.0,1.24,0.62
2024-09-27,Auxerre,Brest,3.0,0.0,1.24,1.24
2024-09-27,Paris SG,Rennes,3.0,1.0,2.17,1.55
2024-09-28,Lens,Nice,0.0,0.0,2.17,1.24
2024-09-28,Le Havre,Lille,0.0,3.0,1.24,3.1
2024-09-28,Monaco,Montpellier,2.0,1.0,2.17,1.24
2024-09-29,Toulouse,Lyon,1.0,2.0,1.24,0.31
2024-09-29,Angers,Reims,1.0,3.0,0.93,3.1
2024-09-29,Nantes,St Etienne,2.0,2.0,0.93,0.93
2024-09-29,Strasbourg,Marseille,1.0,0.0,1.86,0.93
2024-10-04,Marseille,Angers,1.0,1.0,1.24,0.93
2024-10-05,Lille,Toulouse,2.0,1.0,0.93,0.93
2024-10-05,Rennes,Monaco,1.0,2.0,0.93,0.62
2024-10-05,St Etienne,Auxerre,3.0,1.0,1.55,0.93
2024-10-06,Lyon,Nantes,2.0,0.0,1.86,1.86
2024-10-06,Brest,Le Havre,2.0,0.0,0.93,0.0
2024-10-06,Reims,Montpellier,4.0,2.0,1.55,0.93
2024-10-06,Strasbourg,Lens,2.0,2.0,1.55,1.55
2024-10-06,Nice,Paris SG,1.0,1.0,0.93,2.79
2024-10-18,Monaco,Lille,0.0,0.0,1.24,0.31
2024-10-19,Brest,Rennes,1.0,1.0,0.62,1.24
2024-10-19,St Etienne,Lens,0.0,2.0,0.31,1.55
2024-10-19,Paris SG,Strasbourg,4.0,2.0,3.1,2.48
2024-10-20,Le Havre,Lyon,0.0,4.0,0.31,2.48
2024-10-20,Montpellier,Marseille,0.0,5.0,1.55,3.1
2024-10-20,Auxerre,Reims,2.0,1.0,2.48,0.93
2024-10-20,Toulouse,Angers,1.0,1.0,1.86,1.24
2024-10-20,Nantes,Nice,1.0,1.0,2.17,2.17
2024-10-25,Rennes,Le Havre,1.0,0.0,1.24,0.31
2024-10-26,Angers,St Etienne,4.0,2.0,2.48,2.17
2024-10-26,Reims,Brest,1.0,2.0,0.93,1.24
2024-10-26,Lens,Lille,0.0,2.0,1.24,0.93
2024-10-27,Lyon,Auxerre,2.0,2.0,2.48,1.24
2024-10-27,Montpellier,Toulouse,0.0,3.0,0.62,1.86
2024-10-27,Nice,Monaco,2.0,1.0,2.79,1.55
2024-10-27,Strasbourg,Nantes,3.0,1.0,1.55,1.86
2024-10-27,Marseille,Paris SG,0.0,3.0,0.31,2.48
2024-11-01,Monaco,Angers,0.0,1.0,0.93,0.93
2024-11-01,Lille,Lyon,1.0,1.0,0.62,0.93
2024-11-02,Paris SG,Lens,1.0,0.0,2.48,0.62
2024-11-02,Brest,Nice,0.0,1.0,1.86,0.93
2024-11-02,St Etienne,Strasbourg,2.0,0.0,0.93,0.93
2024-11-03,Toulouse,Reims,1.0,0.0,1.86,0.62
2024-11-03,Auxerre,Rennes,4.0,0.0,2.48,1.24
2024-11-03,Le Havre,Montpellier,1.0,0.0,1.24,0.31
2024-11-03,Nantes,Marseille,1.0,2.0,0.93,1.24
2024-11-08,Marseille,Auxerre,1.0,3.0,1.55,1.86
2024-11-09,Strasbourg,Monaco,1.0,3.0,0.62,2.48
2024-11-09,Lens,Nantes,3.0,2.0,0.93,0.93
2024-11-09,Angers,Paris SG,2.0,4.0,0.93,3.72
2024-11-10,Nice,Lille,2.0,2.0,1.55,1.86
2024-11-10,Le Havre,Reims,0.0,3.0,0.93,2.17
2024-11-10,Montpellier,Brest,3.0,1.0,2.48,1.86
2024-11-10,Rennes,Toulouse,0.0,2.0,0.31,0.62
2024-11-10,Lyon,St Etienne,1.0,0.0,2.17,1.86
2024-11-22,Monaco,Brest,3.0,2.0,1.24,1.24
2024-11-22,Paris SG,Toulouse,3.0,0.0,2.48,0.62
2024-11-23,Lens,Marseille,1.0,3.0,2.17,1.24
2024-11-23,St Etienne,Montpellier,1.0,0.0,1.24,0.93
2024-11-23,Reims,Lyon,1.0,1.0,1.86,2.17
2024-11-24,Lille,Rennes,1.0,0.0,0.62,0.31
2024-11-24,Auxerre,Angers,1.0,0.0,1.86,1.55
2024-11-24,Nantes,Le Havre,0.0,2.0,1.24,1.55
2024-11-24,Nice,Strasbourg,2.0,1.0,1.55,0.93
2024-11-29,Reims,Lens,0.0,2.0,0.93,1.86
